Symbol,Name,Country,IPO Year,Sector,Industry
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,,2021,Finance,Business Services
AGCO,AGCO Corporation Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AGD,Aberdeen Global Dynamic Dividend Fund,United States,2006,,
AGI,Alamos Gold Inc. Class A Common Shares,Canada,2015,,
AGL,agilon health inc. Common Stock,,2021,Health Care,Managed Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,United States,,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States,,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States,,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States,,,
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,2004,Finance,Property-Casualty Insurers
AGO^B,Assured Guaranty Ltd.,Bermuda,,,
AGO^E,Assured Guaranty Ltd.,Bermuda,,,
AGO^F,Assured Guaranty Ltd.,Bermuda,,,
AGR,Avangrid Inc. Common Stock,United States,2015,Public Utilities,Electric Utilities: Central
AGRO,Adecoagro S.A. Common Shares,Luxembourg,2011,,
AGS,PlayAGS Inc. Common Stock,United States,2018,Consumer Services,Recreational Products/Toys
AGTI,Agiliti Inc. Common Stock,,2021,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,United States,,Capital Goods,Oilfield Services/Equipment
AHC,A.H. Belo Corporation (TX) Common Stock,United States,,Consumer Services,Newspapers/Magazines
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,Consumer Services,Real Estate Investment Trusts
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda,,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,,
AHT,Ashford Hospitality Trust Inc Common Stock,United States,2003,Consumer Services,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,,
AI,C3.ai Inc. Class A Common Stock,,2020,Technology,Computer Software: Prepackaged Software
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,2015,,
AIF,Apollo Tactical Income Fund Inc. Common Stock,,2013,,
AIG,American International Group Inc. New Common Stock,United States,,Finance,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,United States,,,
AIN,Albany International Corporation Common Stock,United States,,Basic Industries,Textiles
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,,2019,,
AIR,AAR Corp. Common Stock,United States,,Capital Goods,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,,2020,Consumer Services,Real Estate Investment Trusts
AIT,Applied Industrial Technologies Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AIV,Apartment Investment and Management Company Common Stock,United States,1994,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,United States,,Consumer Services,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,United States,2004,Finance,Specialty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,2020,Finance,Accident &Health Insurance
AJAX,Ajax I Class A Ordinary Shares,United States,2020,Finance,Business Services
AJG,Arthur J. Gallagher & Co. Common Stock,United States,,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,United States,,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,United States,2015,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,2017,,
AKO/A,Embotelladora Andina S.A.,Chile,,,
AKO/B,Embotelladora Andina S.A.,Chile,,,
AKR,Acadia Realty Trust Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
AL,Air Lease Corporation Class A Common Stock,United States,2011,Technology,Diversified Commercial Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,,
ALB,Albemarle Corporation Common Stock,United States,,Basic Industries,Industrial Specialties
ALC,Alcon Inc. Ordinary Shares,Switzerland,2019,Health Care,Ophthalmic Goods
ALE,Allete Inc.,United States,,Public Utilities,Power Generation
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,,Consumer Services,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
ALIN^A,Altera Infrastructure L.P. 7.25% Series A ,Bermuda,,,
ALIN^B,Altera Infrastructure L.P. 8.50% Series B ,Bermuda,,,
ALIN^E,Altera Infrastructure L.P. 8.875% Series E ,Bermuda,,,
ALK,Alaska Air Group Inc. Common Stock,United States,,Transportation,Air Freight/Delivery Services
ALL,Allstate Corporation (The) Common Stock,United States,,Finance,Property-Casualty Insurers
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,United States,,,
ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,United States,,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,United States,,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,United States,,,
ALLE,Allegion plc Ordinary Shares,United States,2013,Consumer Services,Diversified Commercial Services
ALLY,Ally Financial Inc. Common Stock,United States,2014,Finance,Diversified Financial Services
ALLY^A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,United States,,,
ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),United States,,,
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,2012,Capital Goods,Auto Parts:O.E.M.
ALTG,Alta Equipment Group Inc. Class A Common Stock,,2019,Technology,Engineering & Construction
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),,,,
ALUS,Alussa Energy Acquisition Corp. Class A Ordinary Shares,,2020,Finance,Business Services
ALV,Autoliv Inc. Common Stock,Sweden,,Capital Goods,Auto Parts:O.E.M.
ALX,Alexander's Inc. Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
AM,Antero Midstream Corporation Common Stock,United States,2017,Public Utilities,Natural Gas Distribution
AMBC,Ambac Financial Group Inc. Common Stock,United States,,Finance,Property-Casualty Insurers
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,,2013,Consumer Services,Movies/Entertainment
AMCR,Amcor plc Ordinary Shares,,2019,Basic Industries,Containers/Packaging
AME,AMETEK Inc.,United States,,Consumer Durables,Metal Fabrications
AMG,Affiliated Managers Group Inc. Common Stock,United States,,Finance,Investment Managers
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,,2013,Consumer Services,Real Estate Investment Trusts
AMH^D,American Homes 4 Rent 6.5% Series D Cumulative Perpetual Preferred Shares of Beneficial Interest,,,,
AMH^E,American Homes 4 Rent 6.35% Series E Cumulative Redeemable Perpetual Preferred Shares of Beneficial Interest,,,,
AMH^F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,,,,
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,,,,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,,,,
AMK,AssetMark Financial Holdings Inc. Common Stock,United States,2019,Finance,Finance/Investors Services
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,United States,,Health Care,Assisted Living Services
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,Mexico,,Public Utilities,Telecommunications Equipment
AMP,Ameriprise Financial Inc. Common Stock,United States,,Finance,Investment Managers
AMPI,Advanced Merger Partners Inc. Class A Common Stock,,2021,,
AMPY,Amplify Energy Corp. Common Stock,United States,2016,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States,2018,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,United States,2010,Basic Industries,Water Supply
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,,2018,Health Care,Major Pharmaceuticals
AMT,American Tower Corporation (REIT) Common Stock,United States,,Finance,Trusts Except Educational Religious and Charitable
AMWL,American Well Corporation Class A Common Stock,United States,2020,Technology,Retail: Computer Software & Peripheral Equipment
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,Mexico,,Public Utilities,Telecommunications Equipment
AN,AutoNation Inc. Common Stock,United States,,Consumer Services,Other Specialty Stores
ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,,2021,Health Care,Major Pharmaceuticals
ANET,Arista Networks Inc. Common Stock,,2014,Technology,Computer peripheral equipment
ANF,Abercrombie & Fitch Company Common Stock,United States,,Consumer Services,Clothing/Shoe/Accessory Stores
ANTM,Anthem Inc. Common Stock,United States,,Health Care,Medical Specialities
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,United States,2007,,
AON,Aon plc Class A Ordinary Shares (Ireland),United States,,Finance,Specialty Insurers
AONE,one Class A Ordinary Shares,United States,2020,Finance,Business Services
AOS,A.O. Smith Corporation Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AP,Ampco-Pittsburgh Corporation Common Stock,United States,,Capital Goods,Metal Fabrications
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,United States,2013,Finance,Investment Managers
APD,Air Products and Chemicals Inc. Common Stock,United States,,Basic Industries,Major Chemicals
APG,APi Group Corporation Common Stock,,2020,Consumer Services,Military/Government/Technical
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares,,2021,Finance,Business Services
APH,Amphenol Corporation Common Stock,United States,,Capital Goods,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,United States,2015,Consumer Services,Real Estate Investment Trusts
APO,Apollo Global Management Inc. Class A Common Stock,United States,2011,Finance,Investment Managers
APO^A,Apollo Global Management Inc. 6.375% Series A Preferred Shares,United States,,,
APO^B,Apollo Global Management Inc 6.375% Series B Preferred Shares,United States,,,
APRN,Blue Apron Holdings Inc. Class A Common Stock,United States,2017,Consumer Services,Catalog/Specialty Distribution
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,United States,2020,Finance,Business Services
APTS,Preferred Apartment Communities Inc. Common Stock,United States,2011,Consumer Services,Real Estate Investment Trusts
APTV,Aptiv PLC Ordinary Shares,United Kingdom,2011,Capital Goods,Auto Parts:O.E.M.
APTV^A,Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares,United Kingdom,,,
AQN,Algonquin Power & Utilities Corp. Common Shares,,2016,Public Utilities,Electric Utilities: Central
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,,2018,,
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,,2019,Public Utilities,Electric Utilities: Central
AQUA,Evoqua Water Technologies Corp. Common Stock,United States,2017,Capital Goods,Office Equipment/Supplies/Services
AR,Antero Resources Corporation Common Stock,,2013,Energy,Oil & Gas Production
ARC,ARC Document Solutions Inc. Common Stock,United States,2004,Miscellaneous,Business Services
ARCH,Arch Resources Inc. Class A Common Stock,United States,2016,Energy,Coal Mining
ARCO,Arcos Dorados Holdings Inc. Class A Shares,Argentina,2011,Consumer Services,Restaurants
ARD,Ardagh Group S.A. Common Shares,,2017,Consumer Durables,Containers/Packaging
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,United States,2012,,
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
ARES,Ares Management Corporation Class A Common Stock,,2014,Finance,Investment Managers
ARES^A,Ares Management Corporation 7.00% Series A Preferred Stock,,,,
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,Bermuda,,Finance,Specialty Insurers
ARGO,Argo Group International Holdings Ltd.,Bermuda,,Finance,Specialty Insurers
ARGO^A,Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A,Bermuda,,,
ARI,Apollo Commercial Real Estate Finance Inc,United States,2009,Consumer Services,Real Estate Investment Trusts
ARL,American Realty Investors Inc. Common Stock,United States,,Consumer Services,Building operators
ARLO,Arlo Technologies Inc. Common Stock,United States,2018,Miscellaneous,Diversified Manufacture
ARMK,Aramark Common Stock,,2013,Consumer Services,Restaurants
ARNC,Arconic Corporation Common Stock ,,2020,,
AROC,Archrock Inc. Common Stock,United States,,Energy,Oil & Gas Production
ARR,ARMOUR Residential REIT Inc.,United States,,Consumer Services,Real Estate Investment Trusts
ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),United States,,,
ARW,Arrow Electronics Inc. Common Stock,United States,,Technology,Electronic Components
ASA,ASA  Gold and Precious Metals Limited,United States,,Basic Industries,Precious Metals
ASAI,Sendas Distribuidora S.A. ADS,,2021,Consumer Services,Food Chains
ASAN,Asana Inc. Class A Common Stock,,2020,Technology,Retail: Computer Software & Peripheral Equipment
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock,United States,2020,,
ASB,Associated Banc-Corp Common Stock,United States,,Finance,Major Banks
ASB^C,Associated Banc-Corp Depositary shares each representing a 1/40th ownership interest in a share of 6.125% Non-Cumulative Perpetual Preferred Stock Series C,United States,,,
ASB^D,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.375% Non-Cumulative Perpetual Preferred Stock Series D,United States,,,
ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E,United States,,,
ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F,United States,,,
ASC,Ardmore Shipping Corporation Common Stock,,2013,Transportation,Marine Transportation
ASG,Liberty All-Star Growth Fund Inc.,United States,,,
ASGI,Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest,,2020,,
ASGN,ASGN Incorporated Common Stock,United States,1992,Technology,Diversified Commercial Services
ASH,Ashland Global Holdings Inc. Common Stock,United States,,Basic Industries,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock ,United States,2016,Basic Industries,Major Chemicals
ASPL,Aspirational Consumer Lifestyle Corp. Class A Ordinary Shares,Singapore,2020,Transportation,Transportation Services
ASPN,Aspen Aerogels Inc. Common Stock,United States,2014,Capital Goods,Wholesale Distributors
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,Mexico,,Transportation,Aerospace
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,,2018,Technology,Semiconductors
ASZ,Austerlitz Acquisition Corporation II Class A Ordinary Shares,,2021,,
AT,Atlantic Power Corporation Ordinary Shares (Canada),United States,,,
ATA,Americas Technology Acquisition Corp. Ordinary Shares,,2021,Finance,Business Services
ATAC,Altimar Acquisition Corporation Class A Ordinary Shares,United States,2020,Finance,Investment Managers
ATC,Atotech Limited Common Shares,,2021,Basic Industries,Major Chemicals
ATCO,Atlas Corp. Common Shares,United Kingdom,,Transportation,Marine Transportation
ATCO^D,Atlas Corp. 7.95% Series D,United Kingdom,,,
ATCO^E,Atlas Corp. 8.25% Series E,United Kingdom,,,
ATCO^G,Atlas Corp. 8.20% Series G,United Kingdom,,,
ATCO^H,Atlas Corp. 7.875% Series H,United Kingdom,,,
ATCO^I,Atlas Corp. Series I Fixed-to-Floating ,United Kingdom,,,
ATEN,A10 Networks Inc. Common Stock,,2014,Technology,EDP Services
ATGE,Adtalem Global Education Inc. Common Stock,United States,,Miscellaneous,Other Consumer Services
ATH,Athene Holding Ltd. Class A Common Shares,Bermuda,2016,Finance,Life Insurance
ATH^A,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A,Bermuda,,,
ATH^B,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share,Bermuda,,,
ATH^C,Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C,Bermuda,,,
ATH^D,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D,Bermuda,,,
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,,2013,,
ATHN,Athena Technology Acquisition Corp. Class A Common Stock,,2021,Miscellaneous,Business Services
ATI,Allegheny Technologies Incorporated Common Stock,United States,,Basic Industries,Steel/Iron Ore
ATKR,Atkore Inc. Common Stock,United States,2016,Technology,Electrical Products
ATMR,Altimar Acquisition Corp. II Class A Ordinary Shares,,2021,Finance,Business Services
ATO,Atmos Energy Corporation Common Stock,United States,,Public Utilities,Oil/Gas Transmission
ATR,AptarGroup Inc. Common Stock,United States,,Capital Goods,Office Equipment/Supplies/Services
ATTO,Atento S.A. Ordinary Shares,,2014,Public Utilities,Telecommunications Equipment
ATUS,Altice USA Inc. Class A Common Stock,United States,2017,Public Utilities,Telecommunications Equipment
AU,AngloGold Ashanti Limited Common Stock,South Africa,,Basic Industries,Precious Metals
AUD,Audacy Common Stock,United States,,Consumer Services,Broadcasting
AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,,2021,,
AUY,Yamana Gold Inc. Ordinary Shares (Canada),Canada,,,
AVA,Avista Corporation Common Stock,United States,,Public Utilities,Power Generation
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),,2014,Finance,Commercial Banks
AVAN,Avanti Acquisition Corp. Class A Ordinary Shares,Cayman Islands,2020,Finance,Business Services
AVB,AvalonBay Communities Inc. Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),United States,,Basic Industries,Agricultural Chemicals
AVK,Advent Convertible and Income Fund,United States,2003,,
AVLR,Avalara Inc. Common Stock,United States,2018,Technology,EDP Services
AVNS,Avanos Medical Inc. Common Stock,United States,2014,Health Care,Industrial Specialties
AVNT,Avient Corporation Common Stock,United States,,Basic Industries,Major Chemicals
AVTR,Avantor Inc. Common Stock,,2019,Basic Industries,Industrial Specialties
AVTR^A,Avantor Inc. Series A Mandatory Convertible Preferred Stock,,,,
AVY,Avery Dennison Corporation Common Stock,United States,,Miscellaneous,Office Equipment/Supplies/Services
AVYA,Avaya Holdings Corp. Common Stock,,,Technology,Retail: Computer Software & Peripheral Equipment
AWF,Alliancebernstein Global High Income Fund,United States,1993,,
AWI,Armstrong World Industries Inc Common Stock,United States,,,
AWK,American Water Works Company Inc. Common Stock,United States,2008,Public Utilities,Water Supply
AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest,United States,2007,,
AWR,American States Water Company Common Stock,United States,,Public Utilities,Water Supply
AX,Axos Financial Inc. Common Stock,United States,2018,Finance,Savings Institutions
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,United States,,Capital Goods,Auto Parts:O.E.M.
AXP,American Express Company Common Stock,United States,,Finance,Finance: Consumer Services
AXR,AMREP Corporation Common Stock,United States,,Consumer Services,Building operators
AXS,Axis Capital Holdings Limited Common Stock,Bermuda,2003,Finance,Property-Casualty Insurers
AXS^E,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares,Bermuda,,,
AXTA,Axalta Coating Systems Ltd. Common Shares,United States,2014,Basic Industries,Paints/Coatings
AYI,Acuity Brands Inc. ,United States,,Consumer Durables,Building Products
AYX,Alteryx Inc. Class A Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software
AZEK,The AZEK Company Inc. Class A Common Stock,United States,2020,,
AZO,AutoZone Inc. Common Stock,United States,,,
AZRE,Azure Power Global Limited Equity Shares,India,2016,Public Utilities,Electric Utilities: Central
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Brazil,2017,Transportation,Air Freight/Delivery Services
AZZ,AZZ Inc.,United States,,Capital Goods,Industrial Machinery/Components
